id,Umur,Pendidikan Terakhir,P1_organik,P2_cara,P3_dampak,S1_tanggungjawab,S2_penting,S3_sekitar,PK1_niat,PK2_sering,PK3_kegiatan,PK4_rutin,H1_repot,H2_waktu,H3_fasilitas,H4_dukungan
R01,56,SMA,5,3,5,5,5,1,1,1,2,1,1,1,0,0
R02,51,SMA,5,5,5,4,4,1,5,1,5,1,0,0,0,1
R03,32,SMA,5,4,5,5,5,2,4,3,5,3,0,0,1,0
R04,63,SD,4,2,4,5,4,1,1,2,2,2,0,0,0,0
R05,56,SMP,4,4,3,5,4,1,3,3,2,3,1,1,0,0
R06,33,SMA,4,5,4,5,5,5,3,3,3,3,1,1,0,0
R07,56,SMA,5,4,4,5,5,2,5,4,3,3,1,1,0,0
R08,35,SMA,5,5,5,5,5,4,5,5,4,5,0,0,0,0
R09,52,SD,5,4,4,5,4,4,3,3,2,5,0,0,1,0
R10,36,SMA,3,4,5,5,5,1,3,1,1,1,1,1,1,1
R11,58,SD,4,2,1,5,5,1,4,2,4,2,0,0,0,0
R12,56,SMA,5,2,4,3,2,1,3,1,1,1,1,1,0,0
R13,30,S1,2,1,1,4,5,4,4,1,3,2,0,0,0,0
R14,60,SMA,3,3,4,5,5,2,5,1,1,1,0,1,0,0
R15,45,SMA,3,3,3,4,4,2,5,1,1,1,0,0,0,0
R16,38,SMA,5,4,5,3,4,1,5,1,5,1,0,0,0,1
R17,29,SMK,4,4,5,4,4,1,5,2,5,1,0,0,0,1
R18,37,-,5,4,4,3,3,1,4,1,5,1,1,1,0,0
R19,58,SMA,3,3,4,5,5,1,5,1,1,1,0,0,0,0
R20,42,SMK,5,4,4,3,4,2,4,1,1,1,0,0,0,1
R21,60,SD,3,3,4,4,5,2,5,4,4,4,0,0,0,1
R22,60,SD,4,4,4,4,4,2,4,1,4,4,0,0,0,1
R23,45,SMP,2,2,4,2,3,1,2,1,1,1,0,0,0,1
R24,40,smp,4,2,3,3,5,4,4,4,3,4,0,0,0,1
R25,27,Sma,5,4,5,4,5,4,5,2,3,3,0,0,0,1
R26,49,SMA,2,2,3,3,3,4,3,2,1,2,0,0,0,1
R27,45,s1 ,5,5,5,4,4,3,5,3,4,5,0,0,1,1
R28,60,tidak sekolah,5,4,3,4,3,3,1,1,1,1,0,0,0,0
R29,50,smp,3,3,5,5,5,4,5,2,2,2,0,0,0,1
R30,28,smk,4,4,5,5,3,2,5,1,1,1,0,0,0,0
R31,39,smk,3,3,4,4,4,2,4,1,1,1,1,1,0,1
R32,57,s1,5,5,5,4,4,2,4,1,3,1,0,0,0,1
R33,32,s1,5,5,4,3,4,1,4,1,3,2,0,0,0,1
R34,62,SMA,2,3,2,4,2,2,2,1,2,1,1,1,0,0
R35,32,SMP,5,4,5,4,4,2,4,3,4,3,0,0,1,0
R36,58,SMP,3,3,3,2,2,2,2,1,1,1,1,1,0,0
R37,55,SMA,5,4,4,3,3,3,5,2,1,1,0,0,0,1
R38,46,SMA,3,3,3,2,2,2,2,1,1,1,1,1,0,0
R39,46,SMA,3,3,3,2,2,2,2,1,1,1,1,1,0,0
R40,46,SMA,3,3,3,2,2,2,2,1,1,1,1,1,0,0
R41,29,SMK,5,5,4,4,5,5,5,4,4,5,0,0,0,1
R42,46,SMA,3,3,3,2,2,2,2,1,1,1,1,1,0,0
