id,label,label_num,prediksi_num,peluang_sudah
R01,sudah_memilah,1,1,0.82
R02,sudah_memilah,1,1,0.723
R03,sudah_memilah,1,1,0.757
R04,belum_memilah,0,1,0.727
R05,sudah_memilah,1,1,0.943
R06,sudah_memilah,1,1,0.893
R07,sudah_memilah,1,1,0.887
R08,sudah_memilah,1,1,0.913
R09,belum_memilah,0,1,0.603
R10,sudah_memilah,1,1,0.627
R11,sudah_memilah,1,1,0.537
R12,sudah_memilah,1,1,0.563
R13,belum_memilah,0,1,0.593
R14,belum_memilah,0,1,0.583
R15,sudah_memilah,1,1,0.51
R16,sudah_memilah,1,0,0.247
R17,belum_memilah,0,1,0.63
R18,belum_memilah,0,0,0.407
R19,belum_memilah,0,1,0.533
R20,belum_memilah,0,0,0.193
R21,belum_memilah,0,0,0.47
R22,belum_memilah,0,0,0.44
R23,belum_memilah,0,0,0.143
R24,sudah_memilah,1,0,0.473
R25,sudah_memilah,1,1,0.54
R26,belum_memilah,0,0,0.173
R27,sudah_memilah,1,1,0.507
R28,sudah_memilah,1,0,0.417
R29,sudah_memilah,1,1,0.743
R30,sudah_memilah,1,1,0.603
R31,belum_memilah,0,0,0.473
R32,sudah_memilah,1,1,0.79
R33,sudah_memilah,1,1,0.64
R34,sudah_memilah,1,1,0.83
R35,sudah_memilah,1,1,0.74
R36,belum_memilah,0,0,0.363
R37,belum_memilah,0,1,0.683
R38,sudah_memilah,1,1,0.733
R39,sudah_memilah,1,0,0.387
R40,belum_memilah,0,1,0.613
R41,belum_memilah,0,1,0.503
R42,sudah_memilah,1,1,0.807
